[2025-09-22 15:33:25] [INFO] Consulta de retenciones activas {"area_id":1,"codigo_empleado":null,"cantidad":0}
[2025-09-22 15:33:58] [INFO] Consulta de retenciones activas {"area_id":1,"codigo_empleado":null,"cantidad":0}
[2025-09-22 15:34:00] [INFO] Consulta de retenciones activas {"area_id":1,"codigo_empleado":null,"cantidad":0}
[2025-09-22 15:34:10] [INFO] Consulta de retenciones activas {"area_id":1,"codigo_empleado":null,"cantidad":0}
[2025-09-22 15:36:02] [INFO] Consulta de retenciones activas {"area_id":1,"codigo_empleado":null,"cantidad":0}
[2025-09-22 15:36:05] [INFO] Consulta de retenciones activas {"area_id":1,"codigo_empleado":null,"cantidad":0}
[2025-09-22 15:36:19] [INFO] Solicitud de validación de producción recibida {"user_id":14,"registro_id":4454}
[2025-09-22 15:36:19] [INFO] Registrando historial de validación {"registro_id":4454,"tipo":"produccion","usuario_id":14}
[2025-09-22 15:36:19] [INFO] Validación de producción exitosa {"user_id":14,"registro_id":4454,"validacion_id":null}
[2025-09-22 15:36:19] [INFO] Consulta de retenciones activas {"area_id":1,"codigo_empleado":null,"cantidad":0}
[2025-09-22 15:36:19] [INFO] Consulta de retenciones activas {"area_id":1,"codigo_empleado":null,"cantidad":0}
[2025-09-22 15:37:40] [INFO] Consulta de retenciones activas {"area_id":1,"codigo_empleado":null,"cantidad":0}
[2025-09-22 15:50:53] [INFO] Consulta de retenciones activas {"area_id":1,"codigo_empleado":null,"cantidad":0}
[2025-09-22 15:50:55] [INFO] Consulta de retenciones activas {"area_id":1,"codigo_empleado":null,"cantidad":0}
[2025-09-22 15:50:58] [INFO] Consulta de retenciones activas {"area_id":1,"codigo_empleado":null,"cantidad":0}
[2025-09-22 15:52:57] [INFO] Consulta de retenciones activas {"area_id":1,"codigo_empleado":null,"cantidad":0}
[2025-09-22 16:35:31] [INFO] Consulta de retenciones activas {"area_id":1,"codigo_empleado":null,"cantidad":0}
[2025-09-22 16:35:33] [INFO] Consulta de retenciones activas {"area_id":1,"codigo_empleado":null,"cantidad":0}
[2025-09-22 16:35:51] [INFO] Solicitud de validación de producción recibida {"user_id":14,"registro_id":4454}
[2025-09-22 16:35:51] [INFO] Registrando historial de validación {"registro_id":4454,"tipo":"produccion","usuario_id":14}
[2025-09-22 16:35:51] [INFO] Validación de producción exitosa {"user_id":14,"registro_id":4454,"validacion_id":0}
[2025-09-22 16:35:51] [INFO] Consulta de retenciones activas {"area_id":1,"codigo_empleado":null,"cantidad":0}
[2025-09-22 16:35:51] [INFO] Consulta de retenciones activas {"area_id":1,"codigo_empleado":null,"cantidad":0}
[2025-09-22 16:35:56] [INFO] Consulta de retenciones activas {"area_id":1,"codigo_empleado":null,"cantidad":0}
[2025-09-22 16:37:11] [INFO] Consulta de retenciones activas {"area_id":1,"codigo_empleado":null,"cantidad":0}
[2025-09-22 16:37:22] [INFO] Consulta de retenciones activas {"area_id":1,"codigo_empleado":null,"cantidad":0}
[2025-09-22 16:37:25] [INFO] Consulta de retenciones activas {"area_id":1,"codigo_empleado":null,"cantidad":0}
[2025-09-22 16:37:42] [INFO] Consulta de retenciones activas {"area_id":1,"codigo_empleado":null,"cantidad":0}
[2025-09-22 16:42:42] [INFO] Consulta de retenciones activas {"area_id":1,"codigo_empleado":null,"cantidad":0}
